Bumper_Num,Veh_Type,IOC_Date,FOC_Date,FOC_Mileage,EOL_Mileage,EOL_Time
BMW14,2014 BMW 323Xi,7/1/14,7/1/14,3,100000,10
Jeep15,2015 Jeep Wrangler,1/1/15,6/3/18,29543,100000,10
